Code,Year,Value
ABW,2000,14.26
AFE,2000,41.006958024593374
AFG,2000,51.491
AFW,2000,43.36173375718788
AGO,2000,46.853
ALB,2000,17.513
AND,2000,11.54
ARB,2000,29.48347127483269
ARE,2000,16.314
ARG,2000,19.328
ARM,2000,10.6
ASM,2000,29.234
ATG,2000,19.72
AUS,2000,13.0
AUT,2000,9.8
AZE,2000,14.5
BDI,2000,42.726
BEL,2000,11.4
BEN,2000,42.079
BFA,2000,45.239
BGD,2000,29.589
BGR,2000,9.0
BHR,2000,20.431
BHS,2000,17.254
BIH,2000,10.231
BLR,2000,9.4
BLZ,2000,30.213
BMU,2000,12.86
BOL,2000,29.846
BRA,2000,19.879
BRB,2000,15.147
BRN,2000,19.803
BTN,2000,25.18
BWA,2000,27.936
CAF,2000,42.058
CAN,2000,10.7
CEB,2000,9.770927434191766
CHE,2000,10.9
CHI,2000,11.4
CHL,2000,16.322
CHN,2000,14.03
CIV,2000,44.278
CMR,2000,40.878
COD,2000,45.298
COG,2000,36.164
COL,2000,22.258
COM,2000,35.359
CPV,2000,27.862
CRI,2000,20.237
CSS,2000,20.02752008137041
CUB,2000,12.857
CUW,2000,16.479
CYM,2000,15.444
CYP,2000,12.493
CZE,2000,8.9
DEU,2000,9.3
DJI,2000,33.459
DMA,2000,17.923
DNK,2000,12.6
DOM,2000,25.557
DZA,2000,19.574
EAP,2000,16.44571130418473
EAR,2000,27.481355656059815
EAS,2000,15.852662133566128
ECA,2000,16.170730602867454
ECS,2000,11.694909492519406
ECU,2000,25.645
EGY,2000,27.392
EMU,2000,10.575242106401051
ERI,2000,37.969
ESP,2000,9.8
EST,2000,9.4
ETH,2000,45.59
EUU,2000,10.460129308518564
FIN,2000,11.0
FJI,2000,24.328
FRA,2000,13.3
FRO,2000,15.3
FSM,2000,32.151
GAB,2000,33.429
GBR,2000,11.5
GEO,2000,12.452
GHA,2000,35.898
GIB,2000,14.723
GIN,2000,41.833
GMB,2000,41.055
GNB,2000,42.346
GNQ,2000,40.795
GRC,2000,9.6
GRD,2000,17.503
GRL,2000,15.6
GTM,2000,34.708
GUM,2000,23.039
GUY,2000,26.231
HIC,2000,11.870697939520138
HKG,2000,8.1
HND,2000,34.175
HPC,2000,43.439007267548625
HRV,2000,9.8
HTI,2000,32.153
HUN,2000,9.6
IBD,2000,20.03852677018781
IBT,2000,24.03282439035466
IDA,2000,38.07523551120908
IDB,2000,38.64063782673592
IDN,2000,21.688
IDX,2000,37.773653047958625
IMN,2000,12.487
IND,2000,27.518
IRL,2000,14.4
IRN,2000,15.966
IRQ,2000,36.107
ISL,2000,15.3
ISR,2000,21.7
ITA,2000,9.5
JAM,2000,20.131
JOR,2000,29.054
JPN,2000,9.5
KAZ,2000,15.828
KEN,2000,40.238
KGZ,2000,19.8
KHM,2000,28.466
KIR,2000,31.498
KNA,2000,17.721
KOR,2000,13.5
KWT,2000,22.39
LAC,2000,22.58619811641205
LAO,2000,32.901
LBN,2000,21.306
LBR,2000,43.238
LBY,2000,21.691
LCA,2000,18.83
LCN,2000,22.26639506443049
LDC,2000,39.174942019934896
LIC,2000,43.139282274768476
LIE,2000,12.9
LKA,2000,18.402
LMC,2000,30.515430534174808
LMY,2000,24.690866768355527
LSO,2000,28.248
LTE,2000,14.772360902546941
LTU,2000,9.8
LUX,2000,13.1
LVA,2000,8.6
MAC,2000,8.9
MAF,2000,25.955
MAR,2000,22.689
MCO,2000,12.23
MDA,2000,11.708
MDG,2000,42.0
MDV,2000,19.916
MEA,2000,29.596634458170914
MEX,2000,24.192
MHL,2000,38.152
MIC,2000,23.12004254198727
MKD,2000,14.5
MLI,2000,47.091
MLT,2000,11.3
MMR,2000,23.164
MNA,2000,29.981681007530586
MNE,2000,15.2
MNG,2000,20.794
MNP,2000,21.957
MOZ,2000,43.583
MRT,2000,37.914
MUS,2000,17.0
MWI,2000,44.572
MYS,2000,22.603
NAC,2000,14.036853727230838
NAM,2000,31.612
NCL,2000,21.201
NER,2000,53.39
NGA,2000,43.892
NIC,2000,27.885
NLD,2000,13.0
NOR,2000,13.2
NPL,2000,30.959
NRU,2000,28.238
NZL,2000,14.66
OED,2000,13.811701151898772
OMN,2000,23.841
OSS,2000,22.173536707934566
PAK,2000,36.541
PAN,2000,23.51
PER,2000,23.836
PHL,2000,29.285
PLW,2000,14.377
PNG,2000,34.423
POL,2000,9.9
PRE,2000,43.87638298593609
PRI,2000,15.59
PRK,2000,17.521
PRT,2000,11.7
PRY,2000,26.885
PSE,2000,40.9
PSS,2000,29.41664080823631
PST,2000,11.613259093502553
PYF,2000,21.396
QAT,2000,17.318
ROU,2000,10.4
RUS,2000,8.7
RWA,2000,42.112
SAS,2000,27.66647485630049
SAU,2000,27.49
SDN,2000,40.836
SEN,2000,39.3
SGP,2000,13.7
SLB,2000,35.445
SLE,2000,45.045
SLV,2000,27.132
SMR,2000,12.004
SOM,2000,50.443
SRB,2000,9.8
SSA,2000,41.959623862422276
SSD,2000,49.816
SSF,2000,41.95683996623629
SST,2000,22.572749564523797
STP,2000,39.748
SUR,2000,25.518
SVK,2000,10.2
SVN,2000,9.1
SWE,2000,10.2
SWZ,2000,32.59
SXM,2000,17.552
SYC,2000,18.6
SYR,2000,31.204
TCA,2000,22.632
TCD,2000,51.589
TEA,2000,16.43158196849804
TEC,2000,12.631550069969897
TGO,2000,37.719
THA,2000,15.027
TJK,2000,29.109
TKM,2000,23.717
TLA,2000,22.532774897735102
TLS,2000,38.642
TMN,2000,29.912331114672103
TON,2000,29.396
TSA,2000,27.66647485630049
TSS,2000,41.95683996623629
TTO,2000,14.869
TUN,2000,16.549
TUR,2000,21.42
TUV,2000,26.641
TZA,2000,41.528
UGA,2000,48.247
UKR,2000,7.823
UMC,2000,17.386617149055624
URY,2000,15.952
USA,2000,14.4
UZB,2000,21.737
VCT,2000,19.18
VEN,2000,23.681
VGB,2000,14.539
VIR,2000,14.4
VNM,2000,18.018
VUT,2000,32.312
WLD,2000,22.07816458596688
WSM,2000,32.057
XKX,2000,18.117
YEM,2000,40.859
ZAF,2000,21.567
ZMB,2000,45.465
ZWE,2000,36.128
ABW,2001,13.813
AFE,2001,40.740368355493715
AFG,2001,49.623
AFW,2001,43.2308601284883
AGO,2001,46.771
ALB,2001,16.596
AND,2001,11.405
ARB,2001,29.11359881702125
ARE,2001,15.978
ARG,2001,18.94
ARM,2001,10.0
ASM,2001,28.79
ATG,2001,17.973
AUS,2001,12.7
AUT,2001,9.4
AZE,2001,13.6
BDI,2001,43.035
BEL,2001,11.2
BEN,2001,41.695
BFA,2001,44.907
BGD,2001,29.174
BGR,2001,8.5
BHR,2001,19.082
BHS,2001,16.787
BIH,2001,9.977
BLR,2001,9.2
BLZ,2001,29.412
