Code,Year,Value
ARG,2000,51.0
AUT,2000,29.0
BEL,2000,33.1
BLR,2000,31.2
BOL,2000,61.6
CAN,2000,33.4
CHE,2000,33.4
COL,2000,58.4
CRI,2000,47.4
DEU,2000,28.7
DNK,2000,23.8
DOM,2000,51.5
ECU,2000,56.3
ESP,2000,34.1
EST,2000,35.8
FIN,2000,27.2
FRA,2000,32.6
GBR,2000,38.9
GEO,2000,40.5
GRC,2000,34.4
HRV,2000,31.3
HUN,2000,27.2
IDN,2000,30.3
IRL,2000,33.0
ITA,2000,35.2
KGZ,2000,31.0
LTU,2000,31.7
LUX,2000,30.1
MDA,2000,36.4
MEX,2000,53.4
MKD,2000,34.3
NOR,2000,27.4
PAN,2000,56.6
PER,2000,49.1
POL,2000,33.0
ROU,2000,29.3
RUS,2000,37.1
SLV,2000,51.5
SWE,2000,27.0
THA,2000,42.8
URY,2000,43.4
USA,2000,40.1
ARG,2001,53.3
ARM,2001,35.4
BGR,2001,32.7
BLR,2001,30.6
BOL,2001,57.4
BRA,2001,58.4
CAN,2001,33.6
COL,2001,57.3
CRI,2001,51.5
DEU,2001,29.9
DOM,2001,50.0
EST,2001,36.0
FRA,2001,32.5
GBR,2001,37.1
GEO,2001,39.6
HND,2001,55.4
HRV,2001,31.1
HUN,2001,26.9
IDN,2001,31.2
ISR,2001,38.9
KAZ,2001,36.0
KGZ,2001,30.2
LTU,2001,32.0
LUX,2001,30.9
MDA,2001,38.0
PAN,2001,56.7
PER,2001,51.3
POL,2001,32.8
PRY,2001,54.6
ROU,2001,29.4
RUS,2001,36.9
SLV,2001,51.3
SWE,2001,26.5
URY,2001,45.0
USA,2001,40.6
ARG,2002,53.8
ARM,2002,34.8
BLR,2002,30.3
BOL,2002,59.3
BRA,2002,58.1
CAN,2002,33.6
CHE,2002,31.7
CHN,2002,42.0
COL,2002,56.0
CRI,2002,51.8
CZE,2002,26.6
DEU,2002,29.9
DOM,2002,49.7
EST,2002,35.8
FRA,2002,31.8
GBR,2002,35.1
GEO,2002,37.2
GRC,2002,35.5
HND,2002,55.7
HUN,2002,26.8
IDN,2002,30.2
IRL,2002,32.3
ISR,2002,39.6
ITA,2002,34.7
KAZ,2002,34.8
KGZ,2002,30.3
LTU,2002,31.9
LUX,2002,31.1
LVA,2002,35.1
MDA,2002,35.8
MEX,2002,50.6
MKD,2002,38.5
PAN,2002,56.1
PER,2002,53.6
POL,2002,34.1
PRY,2002,57.3
ROU,2002,30.2
RUS,2002,37.3
SLV,2002,51.9
SRB,2002,32.7
SVN,2002,29.1
SWE,2002,26.2
THA,2002,41.9
TUR,2002,41.4
UKR,2002,29.0
URY,2002,45.5
USA,2002,40.4
ARG,2003,51.0
ARM,2003,33.0
AUT,2003,29.5
BEL,2003,28.1
BGR,2003,28.9
BLR,2003,28.8
BRA,2003,57.6
CAN,2003,33.8
COL,2003,53.6
CRI,2003,49.3
DEU,2003,29.9
DNK,2003,25.6
DOM,2003,52.1
ECU,2003,53.5
ESP,2003,31.8
EST,2003,37.2
FIN,2003,27.7
FRA,2003,31.4
GBR,2003,34.9
GEO,2003,36.6
GRC,2003,32.8
HND,2003,58.1
HUN,2003,30.9
IDN,2003,29.3
IRL,2003,32.9
ISL,2003,26.8
ISR,2003,40.7
ITA,2003,34.9
KAZ,2003,33.7
KGZ,2003,28.7
LTU,2003,35.5
LUX,2003,30.2
LVA,2003,36.5
MDA,2003,34.9
MKD,2003,38.7
NOR,2003,27.6
PAN,2003,55.6
PER,2003,53.1
POL,2003,34.9
PRT,2003,38.8
PRY,2003,54.9
ROU,2003,29.9
RUS,2003,40.0
SLV,2003,50.4
SRB,2003,32.8
SVN,2003,30.9
SWE,2003,25.3
TUR,2003,42.2
UKR,2003,28.7
URY,2003,45.0
USA,2003,40.8
XKX,2003,29.0
ARG,2004,48.5
ARM,2004,37.5
AUT,2004,29.8
BEL,2004,30.5
BLR,2004,26.5
BOL,2004,55.0
BRA,2004,56.5
CAN,2004,33.8
CHE,2004,31.6
COL,2004,55.0
CRI,2004,48.4
CYP,2004,30.1
CZE,2004,27.5
DEU,2004,30.1
DNK,2004,24.9
DOM,2004,52.1
ECU,2004,53.9
ESP,2004,33.3
EST,2004,33.6
FIN,2004,27.9
FRA,2004,30.6
GBR,2004,34.8
GEO,2004,36.2
GRC,2004,33.6
HND,2004,58.1
HRV,2004,29.7
HUN,2004,29.9
IDN,2004,30.4
IRL,2004,33.6
ISL,2004,28.0
ISR,2004,41.5
ITA,2004,34.3
KAZ,2004,31.8
KGZ,2004,34.8
