Code,Year,Value
ABW,2000,20060.0
AFE,2000,656.4435716110337
AGO,2000,360.0
ALB,2000,1130.0
ARB,2000,2431.9894302226508
ARE,2000,28170.0
ARG,2000,7400.0
ARM,2000,630.0
ATG,2000,11200.0
AUS,2000,21340.0
AUT,2000,26660.0
AZE,2000,630.0
BDI,2000,130.0
BEL,2000,25890.0
BEN,2000,450.0
BFA,2000,260.0
BGD,2000,410.0
BGR,2000,1660.0
BHR,2000,12500.0
BHS,2000,23880.0
BIH,2000,1340.0
BLR,2000,1380.0
BLZ,2000,4470.0
BOL,2000,960.0
BRA,2000,3950.0
BRB,2000,11170.0
BRN,2000,19390.0
BTN,2000,710.0
BWA,2000,3110.0
CAF,2000,240.0
CAN,2000,22740.0
CEB,2000,4099.022714806294
CHE,2000,44580.0
CHL,2000,5030.0
CHN,2000,950.0
CIV,2000,610.0
CMR,2000,730.0
COD,2000,130.0
COG,2000,560.0
COL,2000,2370.0
COM,2000,670.0
CPV,2000,1330.0
CRI,2000,3590.0
CSS,2000,5923.701063179799
CUB,2000,2620.0
CYP,2000,14180.0
CZE,2000,6380.0
DEU,2000,26380.0
DMA,2000,4290.0
DNK,2000,32560.0
DOM,2000,2650.0
DZA,2000,1600.0
EAP,2000,916.5195272434293
EAR,2000,1255.069187292555
EAS,2000,3884.435701594943
ECA,2000,1833.305340459481
ECS,2000,12521.140413971969
ECU,2000,1500.0
EGY,2000,1330.0
EMU,2000,21907.816150169427
ERI,2000,310.0
ESP,2000,15770.0
EST,2000,4170.0
ETH,2000,120.0
EUU,2000,18483.350145823122
FIN,2000,26470.0
FJI,2000,2150.0
FRA,2000,24950.0
FSM,2000,2090.0
GAB,2000,2980.0
GBR,2000,29550.0
GEO,2000,790.0
GHA,2000,330.0
GIN,2000,580.0
GMB,2000,560.0
GNB,2000,410.0
GNQ,2000,660.0
GRC,2000,13100.0
GRD,2000,4410.0
GTM,2000,1660.0
GUY,2000,870.0
HIC,2000,22500.43607028613
HKG,2000,26930.0
HND,2000,1060.0
HPC,2000,334.5530520639762
HRV,2000,5310.0
HTI,2000,560.0
HUN,2000,4630.0
IBD,2000,1428.957826465943
IBT,2000,1211.5147970027476
IDA,2000,457.1425185485761
IDN,2000,570.0
IDX,2000,344.25161046863434
IMN,2000,22470.0
IND,2000,440.0
IRL,2000,24130.0
IRN,2000,1750.0
IRQ,2000,1530.0
ISL,2000,31750.0
ISR,2000,20380.0
ITA,2000,21980.0
JAM,2000,3300.0
JOR,2000,1590.0
JPN,2000,36810.0
KAZ,2000,1220.0
KEN,2000,430.0
KGZ,2000,280.0
KHM,2000,290.0
KIR,2000,1370.0
KNA,2000,8890.0
KOR,2000,11460.0
KWT,2000,18810.0
LAC,2000,4109.623001815843
LAO,2000,280.0
LBN,2000,4090.0
LBR,2000,190.0
LBY,2000,5930.0
LCA,2000,5500.0
LCN,2000,4223.844753473602
LDC,2000,302.44096509738785
LIC,2000,286.8783048246461
LKA,2000,860.0
LMC,2000,573.1388703988897
LMY,2000,1140.1417235706392
LSO,2000,590.0
LTE,2000,1643.390752238058
LTU,2000,3220.0
LUX,2000,45690.0
LVA,2000,3240.0
MAC,2000,14620.0
MAR,2000,1580.0
MDA,2000,490.0
MDG,2000,280.0
MDV,2000,2050.0
MEA,2000,2031.359006965647
MEX,2000,6570.0
MHL,2000,2940.0
MIC,2000,1201.6472500073814
MKD,2000,1920.0
MLI,2000,280.0
MLT,2000,11480.0
MMR,2000,190.0
MNA,2000,1143.4005108795677
MNE,2000,1510.0
MNG,2000,470.0
MOZ,2000,330.0
MRT,2000,730.0
MUS,2000,3960.0
MWI,2000,230.0
MYS,2000,3490.0
NAC,2000,34675.133567172816
NAM,2000,2210.0
NER,2000,220.0
NIC,2000,970.0
NLD,2000,28140.0
NOR,2000,36600.0
NPL,2000,220.0
NRU,2000,3050.0
NZL,2000,14070.0
OED,2000,23147.24735603558
OMN,2000,8070.0
OSS,2000,4819.281345416161
PAK,2000,470.0
PAN,2000,3810.0
PER,2000,1960.0
PHL,2000,1150.0
PLW,2000,6860.0
PNG,2000,600.0
POL,2000,4690.0
PRI,2000,10550.0
PRT,2000,12180.0
PRY,2000,1500.0
PSE,2000,1550.0
PSS,2000,1775.8937810469274
PST,2000,26126.397226026314
PYF,2000,19380.0
QAT,2000,19620.0
ROU,2000,1710.0
RUS,2000,1710.0
RWA,2000,270.0
SAS,2000,441.0910049908255
SAU,2000,10450.0
SDN,2000,330.0
SEN,2000,650.0
SGP,2000,23680.0
SLB,2000,920.0
SLE,2000,150.0
SLV,2000,1890.0
SOM,2000,370.0
SRB,2000,1720.0
SSA,2000,715.9803034936392
SSF,2000,658.2326851635677
SST,2000,4704.739849292241
STP,2000,480.0
SUR,2000,1950.0
SVK,2000,5520.0
SVN,2000,11200.0
SWE,2000,31600.0
SWZ,2000,1600.0
SYC,2000,7920.0
SYR,2000,890.0
TCD,2000,180.0
TEA,2000,927.5109487378028
TEC,2000,2065.8906336028026
TGO,2000,420.0
THA,2000,1980.0
TJK,2000,170.0
TKM,2000,590.0
TLA,2000,4185.592112389855
TLS,2000,660.0
TMN,2000,1140.7826394181066
TON,2000,2010.0
TSA,2000,441.0910049908255
TSS,2000,658.2326851635672
TTO,2000,5180.0
TUN,2000,2260.0
TUR,2000,4180.0
TUV,2000,2330.0
TZA,2000,400.0
UGA,2000,270.0
UKR,2000,680.0
UMC,2000,1770.8352495620793
URY,2000,7180.0
USA,2000,35960.0
UZB,2000,620.0
VCT,2000,3390.0
VEN,2000,4070.0
VNM,2000,390.0
VUT,2000,1420.0
WLD,2000,5501.461077108555
WSM,2000,1410.0
YEM,2000,380.0
ZAF,2000,3260.0
ZMB,2000,350.0
ZWE,2000,350.0
ABW,2001,20340.0
AFE,2001,628.9990155000334
AGO,2001,400.0
ALB,2001,1320.0
ARB,2001,2526.3319349355015
ARE,2001,28360.0
ARG,2001,6930.0
ARM,2001,680.0
ATG,2001,10610.0
AUS,2001,20370.0
AUT,2001,25190.0
AZE,2001,680.0
BDI,2001,130.0
BEL,2001,24460.0
BEN,2001,510.0
