Code,Year,Value
CAN,2000,47.5545451706984
CZE,2000,32.7152999251055
MLT,2000,7.91396999359131
MUS,2000,7.91396999359131
ARM,2001,42.1139106750488
AUS,2001,47.0831673281004
BGD,2001,4.2086501121521
BGR,2001,18.0455703735352
BOL,2001,16.8349895477295
CAN,2001,49.1189791452776
CZE,2001,33.92742124879
HUN,2001,13.6289596557617
ITA,2001,9.35807037353516
LKA,2001,35.2981109619141
LUX,2001,30.3475894927979
SVK,2001,12.5332803726196
ZAF,2001,8.88712024688721
CAN,2002,50.0226777314496
GEO,2002,48.3394203186035
MKD,2002,12.2306098937988
POL,2002,16.0597305297852
ROU,2002,12.6461095809937
SRB,2002,13.2008399963379
ZAF,2002,10.2611398696899
CAN,2003,51.1924327058183
KOR,2003,29.5227670647183
ZAF,2003,10.412859916687
AUS,2004,33.364990234375
CAN,2004,51.8652600976164
CYP,2004,27.6797199249268
ESP,2004,21.7099800109863
FRA,2004,19.9048099517822
KOR,2004,30.5232148068074
LVA,2004,30.3477096557617
NOR,2004,29.6287307739258
PRT,2004,10.6607398986816
QAT,2004,25.5490207672119
SWE,2004,31.8675899505615
ZAF,2004,10.8795795440674
AUS,2005,34.2044906616211
AUT,2005,23.8370304107666
CAN,2005,53.2947168868184
CYP,2005,27.296329498291
ESP,2005,23.3822193145752
FRA,2005,20.6372795104981
GRC,2005,23.2665996551514
HUN,2005,16.2346992492676
ISL,2005,31.0032405853271
ITA,2005,10.9038896560669
LTU,2005,44.957218170166
LVA,2005,30.1295795440674
MKD,2005,12.3505556452546
MLT,2005,11.1428804397583
MUS,2005,7.31079225362267
NLD,2005,29.3052196502686
NOR,2005,30.4954605102539
PAK,2005,3.91673994064331
PRT,2005,10.9376697540283
SGP,2005,38.2560997009277
SWE,2005,32.7204895019531
ZAF,2005,10.9743099212647
AUS,2006,35.7297897338867
BEL,2006,28.205659866333
BGR,2006,19.5046501159668
BOL,2006,20.9168796539307
CAN,2006,55.9819297790527
CYP,2006,28.5707092285156
CZE,2006,14.0790796279907
DEU,2006,27.1606197357178
DNK,2006,30.4313607331964
ESP,2006,23.6973991394043
FIN,2006,30.300628040462
GRC,2006,23.9963703155518
HRV,2006,13.9836539959695
HUN,2006,18.1947684326094
ITA,2006,11.4177103042603
KOR,2006,33.1663368098624
LKA,2006,27.0901794433594
LTU,2006,46.6597518920898
LUX,2006,25.1564064961324
LVA,2006,34.1844787597656
MKD,2006,12.2300721171741
MUS,2006,7.66167556830198
NLD,2006,28.2909524282944
NOR,2006,31.1538200378418
PAK,2006,6.29511976242065
PRT,2006,11.6760902404785
ROU,2006,14.5231311328077
SGP,2006,36.7557907104492
SVK,2006,11.9121439996195
SWE,2006,33.4906616210938
ZAF,2006,10.3197298049927
ARM,2007,48.4774989653387
AUS,2007,36.7352409362793
AUT,2007,23.867000579834
AZE,2007,29.6719398498535
BEL,2007,28.3861982634594
BGR,2007,19.8160705566406
CAN,2007,55.230569171924
CYP,2007,30.9415702819824
CZE,2007,14.0937299728394
DEU,2007,27.7127704620361
ECU,2007,11.4476299285889
ESP,2007,24.2386608123779
FIN,2007,31.184409881022
FRA,2007,22.6165199279785
GRC,2007,25.3001708984375
HRV,2007,13.9305595179396
HUN,2007,18.6643894514985
ISL,2007,38.5312838874635
ITA,2007,11.9416704177856
KOR,2007,34.686310983059
LKA,2007,28.654239654541
LTU,2007,48.2258415222168
LUX,2007,27.4460391998291
LVA,2007,27.6243896484375
MKD,2007,13.3647231584725
MLT,2007,17.4835090637207
MUS,2007,7.77902264068884
NLD,2007,31.5124893188477
NOR,2007,31.8245391845703
PAK,2007,5.36542999851818
PRT,2007,11.8091802597046
QAT,2007,29.7934494018555
ROU,2007,14.6735095977783
SGP,2007,37.7844009399414
SRB,2007,20.4951927676894
SVK,2007,11.7688987511045
SWE,2007,34.2771415710449
ZAF,2007,10.8519601821899
AUS,2008,39.3568687438965
AUT,2008,23.595760345459
AZE,2008,29.7996292114258
BEL,2008,29.3872299194336
BGR,2008,20.1886596679688
BOL,2008,20.535120010376
CAN,2008,55.7530808348945
CYP,2008,31.2834701538086
CZE,2008,14.6193599700928
DEU,2008,28.8160705566406
ECU,2008,10.9389495849609
ESP,2008,24.5520896911621
FIN,2008,32.3550034227444
FRA,2008,23.0357608795166
GRC,2008,25.6896095275879
HRV,2008,14.2314174219528
HUN,2008,19.7424669619413
ISL,2008,39.3549737794472
ITA,2008,12.5561304092407
KOR,2008,36.112071564681
LKA,2008,29.3029708862305
LTU,2008,48.3884887695312
LUX,2008,27.076050562016
LVA,2008,29.7962303161621
MKD,2008,12.651935407037
MUS,2008,7.94876450333019
NLD,2008,31.1592292785644
NOR,2008,32.840518951416
PAK,2008,6.07085990905762
POL,2008,20.6674900054932
PRT,2008,12.1280202865601
QAT,2008,26.4033107757568
ROU,2008,15.2645196914673
SGP,2008,40.4071388244629
SRB,2008,14.8457202911377
SVK,2008,11.9349920838707
SWE,2008,32.2878189086914
ZAF,2008,11.9939098358154
ARM,2009,45.9335606466228
AUS,2009,40.5558280944824
AUT,2009,25.6225490570068
AZE,2009,29.8219203948975
BEL,2009,30.6177597045898
BGR,2009,20.5309906005859
BOL,2009,22.7695903778076
CAN,2009,56.2153842607609
CHE,2009,33.6509704589844
CYP,2009,30.8750190734863
CZE,2009,15.717679977417
DEU,2009,29.8395595550537
ECU,2009,11.0747900009155
ESP,2009,24.9321708679199
FIN,2009,32.9328085269499
FRA,2009,22.5689392089844
HRV,2009,15.1844706284948
HUN,2009,20.2023960946547
ISL,2009,40.0032319412112
ITA,2009,12.5491895675659
LKA,2009,29.6438293457031
LTU,2009,48.4815101623535
LVA,2009,30.620719909668
MKD,2009,13.9645014166783
