Code,Year,Value
AFE,2024,30.233
AFE,2023,30.518
AFE,2022,30.524
AFE,2021,30.475
AFE,2020,30.128
AFE,2019,29.275
AFE,2018,28.772
AFE,2017,28.706
AFE,2016,28.989
AFE,2015,28.15
AFE,2014,25.747
AFE,2013,25.915
AFE,2012,25.022
AFE,2011,25.246
AFE,2010,22.642
AFE,2009,22.381
AFE,2008,21.444
AFE,2007,20.226
AFE,2006,19.773
AFE,2005,19.306
AFE,2004,17.383
AFE,2003,16.675
AFE,2002,16.658
AFE,2001,15.427
AFE,2000,14.8
AFW,2024,20.785
AFW,2023,20.768
AFW,2022,19.183
AFW,2021,17.824
AFW,2020,16.345
AFW,2019,15.399
AFW,2018,15.318
AFW,2017,15.279
AFW,2016,14.844
AFW,2015,15.085
AFW,2014,15.614
AFW,2013,14.706
AFW,2012,13.643
AFW,2011,11.859
AFW,2010,11.203
AFW,2009,11.143
AFW,2008,11.203
AFW,2007,12.31
AFW,2006,11.184
AFW,2005,10.708
AFW,2004,10.069
AFW,2003,8.957
AFW,2002,7.943
AFW,2001,7.396
AFW,2000,6.815
ARB,2024,18.152
ARB,2023,17.728
ARB,2022,18.246
ARB,2021,18.225
ARB,2020,19.547
ARB,2019,17.567
ARB,2018,19.061
ARB,2017,18.884
ARB,2016,19.276
ARB,2015,18.78
ARB,2014,17.793
ARB,2013,17.369
ARB,2012,14.872
ARB,2011,11.329
ARB,2010,11.92
ARB,2009,9.902
ARB,2008,9.802
ARB,2007,9.754
ARB,2006,9.35
ARB,2005,7.037
ARB,2004,6.693
ARB,2003,6.048
ARB,2002,6.131
ARB,2001,4.621
ARB,2000,3.771
CSS,2024,27.32
CSS,2023,26.357
CSS,2022,25.459
CSS,2021,25.455
CSS,2020,25.0
CSS,2019,23.438
CSS,2018,22.656
CSS,2017,21.875
CSS,2016,20.888
CSS,2015,20.888
CSS,2014,17.895
CSS,2013,17.801
CSS,2012,16.754
CSS,2011,16.364
CSS,2010,15.544
CSS,2009,18.016
CSS,2008,18.135
CSS,2007,18.848
CSS,2006,18.133
CSS,2005,18.817
CSS,2004,18.817
CSS,2003,16.622
CSS,2002,16.364
CSS,2001,14.848
CEB,2024,25.463
CEB,2023,25.532
CEB,2022,25.069
CEB,2021,24.213
CEB,2020,24.988
CEB,2019,23.693
CEB,2018,22.721
CEB,2017,22.304
CEB,2016,19.892
CEB,2015,20.116
CEB,2014,19.705
CEB,2013,19.21
CEB,2012,19.267
CEB,2011,18.433
CEB,2010,17.028
CEB,2009,17.07
CEB,2008,16.815
CEB,2007,16.844
CEB,2006,17.099
CEB,2005,16.723
CEB,2004,17.142
CEB,2003,16.268
CEB,2002,16.117
CEB,2001,15.567
CEB,2000,12.96
EAR,2024,25.146
EAR,2023,25.137
EAR,2022,24.862
EAR,2021,24.279
EAR,2020,24.451
EAR,2019,22.949
EAR,2018,22.79
EAR,2017,22.305
EAR,2016,22.345
EAR,2015,22.163
EAR,2014,21.073
EAR,2013,20.069
EAR,2012,19.294
EAR,2011,17.558
EAR,2010,17.421
EAR,2009,16.988
EAR,2008,15.545
EAR,2007,14.721
EAR,2006,13.432
EAR,2005,12.887
EAR,2004,12.146
EAR,2003,11.266
EAR,2002,11.089
EAR,2001,9.522
EAR,2000,9.673
EAS,2024,23.016
EAS,2023,22.527
EAS,2022,21.928
EAS,2021,21.384
EAS,2020,21.33
EAS,2019,20.504
EAS,2018,20.236
EAS,2017,19.811
EAS,2016,19.426
EAS,2015,19.287
EAS,2014,18.596
EAS,2013,18.827
EAS,2012,17.857
EAS,2011,17.699
EAS,2010,17.769
EAS,2009,18.334
EAS,2008,17.958
EAS,2007,17.75
EAS,2006,17.286
EAS,2005,16.909
EAS,2004,16.625
EAS,2003,16.07
EAS,2002,17.217
EAS,2001,16.554
EAS,2000,16.358
EAP,2024,22.905
EAP,2023,22.8
EAP,2022,22.05
EAP,2021,21.573
EAP,2020,21.543
EAP,2019,20.856
EAP,2018,20.626
EAP,2017,20.128
EAP,2016,19.869
EAP,2015,19.763
EAP,2014,19.063
EAP,2013,19.317
EAP,2012,18.237
EAP,2011,17.927
EAP,2010,17.939
EAP,2009,18.553
EAP,2008,18.296
EAP,2007,18.033
EAP,2006,17.657
EAP,2005,17.295
EAP,2004,17.191
EAP,2003,16.859
EAP,2002,18.214
EAP,2001,17.615
EAP,2000,17.323
TEA,2024,23.472
TEA,2023,23.31
TEA,2022,22.48
TEA,2021,21.927
TEA,2020,21.901
TEA,2019,21.153
TEA,2018,21.059
TEA,2017,20.511
TEA,2016,20.208
TEA,2015,20.064
TEA,2014,19.283
TEA,2013,19.633
TEA,2012,18.429
TEA,2011,18.087
TEA,2010,18.103
TEA,2009,18.796
TEA,2008,17.976
TEA,2007,17.681
TEA,2006,17.249
TEA,2005,16.868
TEA,2004,16.75
TEA,2003,16.812
TEA,2002,17.875
TEA,2001,17.204
TEA,2000,16.922
EMU,2024,33.988
EMU,2023,34.533
EMU,2022,34.128
EMU,2021,34.483
EMU,2020,33.765
EMU,2019,32.945
EMU,2018,31.525
EMU,2017,30.793
EMU,2016,29.723
EMU,2015,29.692
EMU,2014,29.9
EMU,2013,29.759
EMU,2012,27.303
EMU,2011,25.972
EMU,2010,25.262
EMU,2009,25.396
EMU,2008,24.821
EMU,2007,24.524
EMU,2006,22.994
EMU,2005,22.145
EMU,2004,21.705
EMU,2003,20.69
EMU,2002,19.133
EMU,2001,19.176
EMU,2000,19.372
ECS,2024,31.45
ECS,2023,31.118
ECS,2022,30.923
ECS,2021,31.134
ECS,2020,30.294
ECS,2019,29.456
ECS,2018,27.954
ECS,2017,27.385
ECS,2016,26.006
ECS,2015,25.743
ECS,2014,25.348
ECS,2013,24.798
ECS,2012,23.751
ECS,2011,22.704
ECS,2010,21.993
ECS,2009,21.895
ECS,2008,21.349
ECS,2007,21.01
ECS,2006,19.533
ECS,2005,19.162
ECS,2004,18.812
ECS,2003,17.764
ECS,2002,18.335
ECS,2001,16.538
ECS,2000,16.562
ECA,2024,27.117
ECA,2023,26.185
ECA,2022,26.32
ECA,2021,26.424
ECA,2020,24.75
ECA,2019,23.548
ECA,2018,21.332
ECA,2017,20.833
ECA,2016,20.014
ECA,2015,19.154
ECA,2014,19.239
ECA,2013,18.276
ECA,2012,18.101
ECA,2011,16.257
ECA,2010,15.203
ECA,2009,15.096
ECA,2008,13.932
ECA,2007,13.722
ECA,2006,10.862
ECA,2005,9.836
ECA,2004,9.475
ECA,2003,7.912
ECA,2001,7.51
ECA,2000,6.841
TEC,2024,25.548
TEC,2023,25.063
TEC,2022,25.006
TEC,2021,25.006
TEC,2020,24.357
TEC,2019,23.191
TEC,2018,21.451
TEC,2017,21.139
TEC,2016,19.242
TEC,2015,18.886
TEC,2014,18.87
TEC,2013,18.429
TEC,2012,18.232
TEC,2011,16.885
TEC,2010,15.882
TEC,2009,15.819
TEC,2008,15.103
TEC,2007,14.812
TEC,2006,12.793
TEC,2005,12.347
TEC,2004,12.421
TEC,2003,10.643
TEC,2002,12.835
TEC,2001,10.762
TEC,2000,8.623
EUU,2024,32.56
EUU,2023,32.954
EUU,2022,32.579
EUU,2021,32.721
EUU,2020,32.407
EUU,2019,31.817
EUU,2018,30.516
EUU,2017,29.79
EUU,2016,28.286
EUU,2015,28.267
EUU,2014,28.241
EUU,2013,27.682
EUU,2012,26.038
EUU,2011,25.113
EUU,2010,24.377
EUU,2009,24.468
EUU,2008,24.154
EUU,2007,23.877
EUU,2006,22.885
EUU,2005,22.178
EUU,2004,22.072
EUU,2003,21.378
EUU,2002,20.283
EUU,2001,19.55
EUU,2000,19.574
FCS,2024,21.641
FCS,2023,21.875
FCS,2022,21.935
FCS,2021,21.566
FCS,2020,20.656
FCS,2019,19.031
FCS,2018,18.802
FCS,2017,19.047
FCS,2016,18.649
FCS,2015,18.826
FCS,2014,16.28
FCS,2013,17.01
FCS,2012,15.769
FCS,2011,15.206
FCS,2010,13.97
FCS,2009,13.172
FCS,2008,13.406
FCS,2007,13.407
FCS,2006,13.253
FCS,2005,12.018
FCS,2004,9.989
FCS,2003,9.291
FCS,2002,9.731
FCS,2001,8.377
FCS,2000,8.212
HPC,2024,27.273
HPC,2023,27.295
HPC,2022,26.579
HPC,2021,26.453
HPC,2020,25.236
HPC,2019,24.123
HPC,2018,24.05
HPC,2017,24.309
HPC,2016,24.029
HPC,2015,23.85
HPC,2014,22.15
HPC,2013,22.105
HPC,2012,21.498
HPC,2011,20.354
HPC,2010,18.314
HPC,2009,17.714
HPC,2008,17.592
HPC,2007,17.634
HPC,2006,17.112
HPC,2005,16.896
HPC,2004,14.057
HPC,2003,13.521
HPC,2002,13.515
HPC,2001,11.916
HIC,2024,30.912
HIC,2023,30.342
HIC,2022,30.153
HIC,2021,30.098
HIC,2020,29.486
HIC,2019,28.537
HIC,2018,27.443
HIC,2017,26.78
HIC,2016,25.359
HIC,2015,25.351
HIC,2014,24.757
HIC,2013,24.39
HIC,2012,23.033
HIC,2011,22.506
HIC,2010,21.979
HIC,2009,21.892
HIC,2008,21.427
HIC,2007,21.22
HIC,2006,20.326
HIC,2005,19.847
HIC,2004,19.445
HIC,2003,18.788
HIC,2002,18.319
HIC,2001,17.626
HIC,2000,17.705
IBD,2024,25.966
IBD,2023,25.719
IBD,2022,25.324
IBD,2021,24.916
IBD,2020,24.591
IBD,2019,23.852
IBD,2018,23.298
IBD,2017,22.592
IBD,2016,22.051
IBD,2015,21.592
IBD,2014,21.346
IBD,2013,20.709
IBD,2012,19.52
IBD,2011,18.186
IBD,2010,17.87
IBD,2009,17.468
IBD,2008,16.503
IBD,2007,16.07
IBD,2006,15.298
IBD,2005,14.595
IBD,2004,15.036
IBD,2003,14.129
IBD,2002,14.663
IBD,2001,13.147
IBD,2000,12.755
IBT,2024,25.011
IBT,2023,24.849
IBT,2022,24.472
IBT,2021,24.019
IBT,2020,23.497
IBT,2019,22.533
IBT,2018,22.191
IBT,2017,21.857
IBT,2016,21.449
IBT,2015,21.112
IBT,2014,20.412
IBT,2013,19.988
IBT,2012,19.276
IBT,2011,18.176
IBT,2010,17.408
IBT,2009,17.236
IBT,2008,16.492
IBT,2007,15.911
IBT,2006,15.0
IBT,2005,14.504
IBT,2004,13.832
IBT,2003,13.046
IBT,2002,13.267
IBT,2001,11.989
IBT,2000,11.433
IDB,2024,20.132
IDB,2023,20.488
IDB,2022,20.432
IDB,2021,20.015
IDB,2020,19.823
IDB,2019,17.954
IDB,2018,17.954
IDB,2017,17.882
IDB,2016,17.347
IDB,2015,17.27
IDB,2014,17.293
IDB,2013,17.386
IDB,2012,13.718
IDB,2011,13.527
IDB,2010,13.062
IDB,2009,13.511
IDB,2008,13.239
IDB,2007,12.828
IDB,2006,12.196
IDB,2005,12.005
IDB,2004,11.353
IDB,2003,10.535
IDB,2002,10.312
IDX,2024,24.611
IDX,2023,24.485
IDX,2022,24.046
IDX,2021,23.503
IDX,2020,22.512
IDX,2019,21.436
IDX,2018,21.438
IDX,2017,21.697
IDX,2016,21.52
IDX,2015,21.365
IDX,2014,19.676
IDX,2013,19.387
IDX,2012,20.233
IDX,2011,19.337
IDX,2010,17.667
IDX,2009,17.781
IDX,2008,17.342
IDX,2007,16.421
IDX,2006,15.171
IDX,2005,15.027
IDX,2004,12.126
IDX,2003,11.55
IDX,2002,11.109
IDX,2000,9.632
IDA,2024,23.513
IDA,2023,23.538
IDA,2022,23.194
IDA,2021,22.715
IDA,2020,21.904
IDA,2019,20.679
IDA,2018,20.689
IDA,2017,20.907
IDA,2016,20.641
IDA,2015,20.492
IDA,2014,19.155
IDA,2013,18.935
IDA,2012,18.931
IDA,2011,18.163
IDA,2010,16.712
IDA,2009,16.888
IDA,2008,16.476
IDA,2007,15.657
IDA,2006,14.543
IDA,2005,14.363
IDA,2004,11.945
IDA,2003,11.282
IDA,2002,10.9
LTE,2024,24.267
LTE,2023,23.637
LTE,2022,23.334
LTE,2021,22.992
LTE,2020,22.194
LTE,2019,21.97
LTE,2018,21.47
LTE,2017,20.702
LTE,2016,19.889
LTE,2015,19.365
LTE,2014,19.103
LTE,2013,18.915
LTE,2012,18.285
LTE,2011,17.66
LTE,2010,17.251
LTE,2009,17.216
LTE,2008,17.079
LTE,2007,16.746
LTE,2006,16.041
LTE,2005,16.016
LTE,2004,15.786
LTE,2003,15.08
LTE,2002,15.69
LTE,2001,15.112
LTE,2000,14.758
LCN,2024,36.465
LCN,2023,35.7
LCN,2022,35.734
LCN,2021,34.409
LCN,2020,32.758
LCN,2019,31.67
LCN,2018,31.196
LCN,2017,29.741
LCN,2016,28.801
LCN,2015,27.901
LCN,2014,27.461
LCN,2013,25.751
LCN,2012,24.486
LCN,2011,23.035
LCN,2010,23.006
LCN,2009,22.701
LCN,2008,22.161
LCN,2007,21.107
LCN,2006,20.341
LCN,2005,20.209
LCN,2004,19.009
LCN,2003,18.469
LCN,2002,16.118
LCN,2001,14.375
LCN,2000,15.157
LAC,2024,37.404
LAC,2023,36.626
LAC,2022,36.689
LAC,2021,35.881
LAC,2020,34.586
LAC,2019,33.352
LAC,2018,32.804
LAC,2017,30.961
LAC,2016,30.802
LAC,2015,29.722
LAC,2014,29.131
LAC,2013,27.329
LAC,2012,25.875
LAC,2011,24.14
LAC,2010,24.058
LAC,2009,23.724
LAC,2008,22.896
LAC,2007,21.611
LAC,2006,20.733
LAC,2005,20.642
LAC,2004,19.617
LAC,2003,19.276
LAC,2002,16.52
LAC,2001,14.906
LAC,2000,15.512
TLA,2024,33.979
TLA,2023,33.116
TLA,2022,32.869
TLA,2021,31.434
TLA,2020,29.467
TLA,2019,28.293
TLA,2018,27.737
TLA,2017,26.452
TLA,2016,25.538
TLA,2015,24.2
TLA,2014,23.931
TLA,2013,21.783
TLA,2012,21.192
TLA,2011,19.505
TLA,2010,19.568
TLA,2009,19.277
TLA,2008,18.622
TLA,2007,18.644
TLA,2006,17.642
TLA,2005,17.449
TLA,2004,16.023
TLA,2003,15.378
TLA,2002,13.996
TLA,2001,11.753
TLA,2000,12.619
LDC,2024,27.044
LDC,2023,26.657
LDC,2022,26.187
LDC,2021,25.302
LDC,2020,24.412
LDC,2019,23.135
LDC,2018,23.039
LDC,2017,23.225
LDC,2016,23.338
LDC,2015,23.31
LDC,2014,21.375
LDC,2013,21.17
LDC,2012,21.624
LDC,2011,21.037
LDC,2010,19.44
LDC,2009,19.671
LDC,2008,19.03
LDC,2007,17.553
LDC,2006,16.356
LDC,2005,15.971
LDC,2004,12.945
LDC,2003,12.601
LDC,2002,12.159
LDC,2000,10.05
LMY,2024,25.07
LMY,2023,24.905
LMY,2022,24.622
LMY,2021,24.194
LMY,2020,23.667
LMY,2019,22.728
LMY,2018,22.392
LMY,2017,21.975
LMY,2016,21.876
LMY,2015,21.465
LMY,2014,20.982
LMY,2013,20.51
LMY,2012,19.656
LMY,2011,18.52
LMY,2010,17.759
LMY,2009,17.715
LMY,2008,17.032
LMY,2007,16.26
LMY,2006,15.344
LMY,2005,14.833
LMY,2004,14.472
LMY,2003,13.611
LMY,2002,13.827
LMY,2001,12.516
LMY,2000,12.242
LIC,2024,22.675
LIC,2023,22.713
LIC,2022,22.457
LIC,2021,22.566
LIC,2020,20.876
LIC,2019,20.224
LIC,2018,20.192
LIC,2017,20.439
LIC,2016,20.131
LIC,2015,19.847
LIC,2014,18.486
LIC,2013,19.453
