Code,Year,Value
AFG,2000,55.0047
AFG,2001,55.5113
AFG,2002,56.2251
AFG,2003,57.1713
AFG,2004,57.8098
AFG,2005,58.2468
AFG,2006,58.5533
AFG,2007,58.9563
AFG,2008,59.7081
AFG,2009,60.2478
AFG,2010,60.7018
AFG,2011,61.2503
AFG,2012,61.7349
AFG,2013,62.1878
AFG,2014,62.2599
AFG,2015,62.2695
AFG,2016,62.6459
AFG,2017,62.4062
AFG,2018,62.4434
AFG,2019,62.9411
AFG,2020,61.4537
AFG,2021,60.4174
AFG,2022,65.617
AFG,2023,66.0346
OWID_AFR,2000,53.667
OWID_AFR,2001,54.006
OWID_AFR,2002,54.3921
OWID_AFR,2003,54.8416
OWID_AFR,2004,55.3428
OWID_AFR,2005,55.8494
OWID_AFR,2006,56.4629
OWID_AFR,2007,57.0818
OWID_AFR,2008,57.6655
OWID_AFR,2009,57.7517
OWID_AFR,2010,58.7703
OWID_AFR,2011,58.9598
OWID_AFR,2012,59.8046
OWID_AFR,2013,60.2673
OWID_AFR,2014,60.4728
OWID_AFR,2015,60.8437
OWID_AFR,2016,61.2078
OWID_AFR,2017,61.514
OWID_AFR,2018,62.1674
OWID_AFR,2019,62.449
OWID_AFR,2020,62.2572
OWID_AFR,2021,61.7866
OWID_AFR,2022,62.9205
OWID_AFR,2023,63.8428
ALB,2000,74.8262
ALB,2001,75.083
ALB,2002,75.2987
ALB,2003,75.5566
ALB,2004,75.9515
ALB,2005,76.4266
ALB,2006,76.9943
ALB,2007,77.6907
ALB,2008,78.2484
ALB,2009,78.5088
ALB,2010,78.4141
ALB,2011,78.3029
ALB,2012,78.0836
ALB,2013,77.9951
ALB,2014,78.0291
ALB,2015,78.358
ALB,2016,78.6433
ALB,2017,78.9003
ALB,2018,79.2377
ALB,2019,79.4669
ALB,2020,77.8241
ALB,2021,76.8442
ALB,2022,78.7688
ALB,2023,79.6019
DZA,2000,70.5759
DZA,2001,71.0245
DZA,2002,71.6437
DZA,2003,71.9064
DZA,2004,72.5359
DZA,2005,72.836
DZA,2006,73.1164
DZA,2007,73.346
DZA,2008,73.6181
DZA,2009,73.8711
DZA,2010,74.1435
DZA,2011,74.3834
DZA,2012,74.6086
DZA,2013,74.8095
DZA,2014,74.9923
DZA,2015,75.1589
DZA,2016,75.3099
DZA,2017,75.4313
DZA,2018,75.5554
DZA,2019,75.6818
DZA,2020,73.2568
DZA,2021,75.2077
DZA,2022,76.1289
DZA,2023,76.261
ASM,2000,71.4429
ASM,2001,71.5734
ASM,2002,71.7547
ASM,2003,71.6979
ASM,2004,72.2768
ASM,2005,72.3817
ASM,2006,72.3975
ASM,2007,72.3649
ASM,2008,72.43
ASM,2009,70.8391
ASM,2010,72.5866
ASM,2011,72.6621
ASM,2012,72.7093
ASM,2013,72.7692
ASM,2014,72.6873
ASM,2015,72.6543
ASM,2016,72.6399
ASM,2017,72.8009
ASM,2018,72.794
ASM,2019,72.7511
ASM,2020,72.6717
ASM,2021,72.708
ASM,2022,72.7521
ASM,2023,72.8518
AND,2000,81.8633
AND,2001,82.1618
AND,2002,82.4485
AND,2003,82.7183
AND,2004,82.8153
AND,2005,83.086
AND,2006,83.3745
AND,2007,83.6324
