Code,Year,Value
ABW,2000,65.3545497799987
AFE,2000,28.468687977645207
AFG,2000,18.5581995230666
AFW,2000,38.85246843845806
AGO,2000,50.5070653484197
ALB,2000,41.6135829609314
AND,2000,92.2559356689453
ARB,2000,52.44143057539628
ARE,2000,79.287092479995
ARG,2000,89.1760271133454
ARM,2000,64.959237917436
ASM,2000,88.6075809307222
ATG,2000,32.2326072041227
AUS,2000,85.1071608578257
AUT,2000,66.7690238969566
AZE,2000,51.1320838928223
BDI,2000,8.04381449833197
BEL,2000,82.0152520403035
BEN,2000,38.2759517258875
BFA,2000,18.0003503329444
BGD,2000,23.3145114975244
BGR,2000,68.2631454467773
BHR,2000,87.8356209595597
BHS,2000,81.0361161567684
BIH,2000,42.5539898606589
BLR,2000,69.9172295434732
BLZ,2000,47.6836847507377
BMU,2000,100.0
BOL,2000,61.8587201575591
BRA,2000,81.1484365423806
BRB,2000,62.5379397803044
BRN,2000,71.2246805488418
BTN,2000,27.5915239884015
BWA,2000,53.2047727398794
CAF,2000,37.7014879765364
CAN,2000,78.6292995508947
CEB,2000,61.44065290425837
CHE,2000,73.302430524727
CHI,2000,30.4565425668312
CHL,2000,86.2710912457813
CHN,2000,36.4320234662299
CIV,2000,43.0840065011913
CMR,2000,46.2449829402599
COD,2000,34.9008752617485
COG,2000,58.8947380255871
COL,2000,74.3493570179247
COM,2000,28.0360512192055
CPV,2000,53.9332149202283
CRI,2000,59.0462378975394
CSS,2000,51.42604171046177
CUB,2000,75.635383605957
CUW,2000,90.8692145662905
CYM,2000,100.0
CYP,2000,68.7726966799379
CZE,2000,74.0038256456769
DEU,2000,80.0942160905637
DJI,2000,73.3486361649708
DMA,2000,65.2352744316641
DNK,2000,85.0999984741211
DOM,2000,61.3128549215919
DZA,2000,59.8521239445692
EAP,2000,36.70985688819284
EAR,2000,38.080381765530724
EAS,2000,41.63434131190144
ECA,2000,56.73375041527337
ECS,2000,68.65697333286978
ECU,2000,60.6865005107058
EGY,2000,42.7339398932519
EMU,2000,73.62058693098533
ERI,2000,34.0983619689941
ESP,2000,76.1650552349602
EST,2000,67.385529072627
ETH,2000,14.9193096160889
EUU,2000,71.51997364728388
FCS,2000,38.776076977989284
FIN,2000,67.1227685349539
FJI,2000,48.0649880871211
FRA,2000,76.5143983146093
FRO,2000,35.6986770629883
FSM,2000,22.3299999237061
GAB,2000,79.5660404650438
GBR,2000,79.8241408315172
GEO,2000,52.4935999592259
GHA,2000,43.9373786640616
GIB,2000,100.0
GIN,2000,30.9231105645224
GMB,2000,46.9722332873784
GNB,2000,36.8412054388232
GNQ,2000,38.8154587133988
GRC,2000,72.665642910984
GRD,2000,35.8702371019579
GRL,2000,81.4517822265625
GTM,2000,43.2434755105047
GUM,2000,93.1395316242857
GUY,2000,28.7610390578913
HIC,2000,76.12435871367069
HKG,2000,100.0
HND,2000,45.3233354392127
HPC,2000,28.25695130390769
HRV,2000,55.6818319251231
HTI,2000,36.8408497942176
HUN,2000,64.2602344392211
IBD,2000,43.666702389664664
IBT,2000,40.617390522043316
IDA,2000,29.900555332228265
IDB,2000,37.10260160902678
IDN,2000,41.9861540600656
IDX,2000,26.060875303171017
IMN,2000,51.8280887588444
IND,2000,27.6470407512523
IRL,2000,59.1247997891425
IRN,2000,64.4780120849609
IRQ,2000,67.6331913847871
ISL,2000,91.9674192031642
ISR,2000,91.2809653237465
ITA,2000,67.1932283786243
JAM,2000,51.7165550768252
JOR,2000,78.2848247546539
JPN,2000,78.6126803295375
KAZ,2000,56.0239607657944
KEN,2000,19.4553832211834
KGZ,2000,35.3216067847574
KHM,2000,18.6242216655572
KIR,2000,43.3274808848011
KNA,2000,32.764294564989
KOR,2000,79.579960745642
KWT,2000,99.0
LAC,2000,74.63518471986802
LAO,2000,22.1840964350091
LBN,2000,86.0
LBR,2000,43.7710042955819
LBY,2000,86.9508513726842
LCA,2000,27.8532282391838
LCN,2000,75.56529387675428
LDC,2000,25.296977747856364
LIC,2000,29.0741163710835
LIE,2000,14.9899997711182
LKA,2000,14.6196895000898
LMC,2000,31.318425102834727
LMY,2000,39.436743412321356
LSO,2000,19.3273988558381
LTE,2000,45.93010304142842
LTU,2000,66.9768374826555
LUX,2000,84.4182155177842
LVA,2000,68.0520561441955
MAC,2000,99.9957926704194
MAF,2000,100.0
MAR,2000,53.58724711125
MCO,2000,100.0
MDA,2000,40.4185981750488
MDG,2000,25.0095755608264
MDV,2000,27.6038586493758
MEA,2000,48.6994220205845
MEX,2000,74.9203113970256
MHL,2000,68.2755984422337
MIC,2000,40.181178350126906
MKD,2000,58.4918382392587
MLI,2000,18.977631037325
MLT,2000,93.278338811526
MMR,2000,27.5346072708149
MNA,2000,46.31478833533729
MNE,2000,59.0899260145706
MNG,2000,56.7305447074496
MNP,2000,90.1578212649113
MOZ,2000,29.2423697311441
MRT,2000,38.0555858542174
MUS,2000,42.063123063288
MWI,2000,14.6770603287659
MYS,2000,61.9694564490726
NAC,2000,79.03458725985432
NAM,2000,32.1168956399877
NCL,2000,61.6103287085477
NER,2000,16.1307678222656
NGA,2000,43.2785051250243
NIC,2000,55.2160707858522
NLD,2000,78.4826828427081
NOR,2000,76.1338922449534
NPL,2000,31.0994241803849
NRU,2000,100.0
NZL,2000,85.7059660456056
OED,2000,75.60305387053263
OMN,2000,71.5400835229196
OSS,2000,51.53534285878069
PAK,2000,33.0046884491535
PAN,2000,62.2165370013582
PER,2000,72.7724831207703
PHL,2000,39.1384171397742
PLW,2000,69.5876201801789
PNG,2000,13.2228772276955
POL,2000,61.7459160613903
PRE,2000,33.5253317240951
PRI,2000,94.4035182032107
PRK,2000,59.4196417703576
PRT,2000,54.4051635389142
PRY,2000,57.5141169408231
PSE,2000,72.0694328572656
PSS,2000,34.43844476324356
PST,2000,76.82799695721592
PYF,2000,55.954253994428
QAT,2000,96.2942718926638
ROU,2000,52.8619549004535
RUS,2000,73.1568222045898
RWA,2000,15.7804474645996
SAS,2000,27.04118505036212
SAU,2000,79.9704860819453
SDN,2000,32.3435880462815
SEN,2000,40.6667555531967
SGP,2000,100.0
SLB,2000,15.7523593692696
SLE,2000,35.5327867241975
SLV,2000,56.5638569810457
SMR,2000,93.7709762556799
SOM,2000,33.0596136927225
SRB,2000,55.5923115701625
SSA,2000,34.60816843596911
SSD,2000,16.0428540117317
SSF,2000,32.660593323038505
SST,2000,49.2961871752943
STP,2000,52.9663437052108
SUR,2000,66.7015222141811
SVK,2000,56.1058893284907
SVN,2000,50.6975029797519
SWE,2000,84.0400009155273
SWZ,2000,22.8409330761997
SXM,2000,100.0
SYC,2000,43.3974230710038
SYR,2000,51.876811612138
TCA,2000,84.6139434685266
TCD,2000,21.6527690760484
TEA,2000,36.41121527947952
TEC,2000,62.6684950236389
TGO,2000,33.0994844063309
THA,2000,31.4626212652205
TJK,2000,26.5355104669232
TKM,2000,46.0736689106993
TLA,2000,75.40821290132308
TLS,2000,24.1139427164365
TMN,2000,46.15120254530531
TON,2000,23.0251513819988
TSA,2000,27.04118505036212
TSS,2000,32.660593323038505
TTO,2000,55.9291468285602
TUN,2000,63.6166653822584
TUR,2000,58.9706120006403
TUV,2000,45.5119494377121
TZA,2000,22.1944164040635
UGA,2000,11.6414758125187
UKR,2000,67.403857296906
UMC,2000,48.150310203603865
URY,2000,91.2769768173566
USA,2000,79.0740897861327
UZB,2000,47.6731005044
VCT,2000,44.8903114926141
VEN,2000,88.219476430842
VGB,2000,41.9814254086647
VIR,2000,92.6234446497486
VNM,2000,24.3672526919772
VUT,2000,21.6572490599483
WLD,2000,46.83906077078086
WSM,2000,21.9529698020724
XKX,2000,37.4831955140268
YEM,2000,26.6054859383233
ZAF,2000,56.2589954883628
ZMB,2000,35.8735460960387
ZWE,2000,32.3991568853313
ABW,2001,65.3351137913914
AFE,2001,28.831506143573847
AFG,2001,18.7412381251552
AFW,2001,39.452945966840915
AGO,2001,51.7224790407329
ALB,2001,42.354513990929
AND,2001,91.8949711110146
ARB,2001,52.738168430817026
ARE,2001,79.7469002624215
ARG,2001,89.3682951289372
ARM,2001,64.8228123790872
